Countries_and_territories,Place,Start_Date,End_Date,First_case_observed,Num_Cases_Start_Lockdown,Since_Lockdown,CasesofLockdown_UntilLockdown
Trinidad and Tobago,,2020-03-17,2020-03-31,3/12/2020,,5,0
Tunisia,,2020-03-22,2020-04-19,3/2/2020,,20,0
Turkey,,2020-04-23,2020-04-27,3/11/2020,,43,0
Ukraine,,2020-03-17,2020-04-24,3/3/2020,,14,0
United Arab Emirates,,2020-03-26,2020-04-17,1/26/2020,,60,0
United Kingdom,,2020-03-23,,1/30/2020,5683,53,301199
United States,,2020-03-19,,1/20/2020,9415,59,0
Venezuela,,2020-03-17,2020-05-13,3/14/2020,,3,0
Zimbabwe,,2020-03-30,2020-05-02,3/20/2020,,10,0
Canada,,3/17/2020,,1/26/2020,424,51,21624
China ,,1/24/2020,2020-04-08,12/31/2019,882,24,21168
